term,definition,long_definition,vernacular_definition,note,example
dawai,"fine wire, -2 strings (for musical instruments)","^fine wire, -2 strings (for musical instruments)",,,Iwan Fals memainkan DAWAI-DAWAI gitarnya dengan indah
dawat,ink,ink,,,Pada zaman dahulu orang-orang di kampungku membuat DAWAK dari dedaunan
dawet,"cold drink made from rice or arrowroot, flour, coconut milk, and palm sugar","cold drink made from rice or arrowroot, flour, coconut milk, and palm sugar",,,
dawuh,"(Jv) order, command","^(Jv) order, command",,,
daya,"power, energy, capacity; effort. BER-: to be powerful, capable.","^1 power, energy, capacity. 2 effort. BER-: to be powerful, capable. PEMBER-: empowerment. see daya 2",tenaga; kekuatan.,,PEMBERDAYAAN masyarakat adalah tujuan pembangunan.
daya,"trick, ruse","^trick, ruse MEN-(KAN): deceive, trick *MEMPER-(KAN): deceive, trick TEPER-: deceived, taken in PEN-AN: 1. deceit, trick 2. way out, expedient PER-AN: ruse, strategem",,,*Probowo MEMPERDAYAKAN penduduk di Timor Timur
Dayak,1. native ethnic groups of Kalimantan 2. (Coll.) American Indian,^1. native ethnic groups of Kalimantan 2. (Coll.) American Indian,,,"Penduduk asli Kalimantan, DAYAK, semakin berkurang jumlahnya"
dayang,lady-in-waiting,,,,
dayung,"MEN-: to row a boat, paddle.","MEN-: to row a boat, paddle.",,,Dengan susah payah akhirnya kami dapat MENDAYUNG melawan arus sungai yang deras
debar,"sensation of pulse beat. BER-: throb, beat, pulsate. Also BER-_-_-AN, +","^sensation of pulse beat. *BER-: throb, beat, pulsate. BER-_-_-AN: pound, beat, rapidly. *MEN--KAN: make the heart beat rapidly. *-AN: pulse. PER--AN: pulsating, palpitating.",Berdenyut lebih cepat dari biasanya.,,Film horor ini ngeri sekali MENDEBARKAN hati penonton.
debat,debate.,debate.,Pertukaran pikiran dengan masing-masing alasan.,,Seminar itu sudah menjadi ajang DEBAT yang tidak bermutu lagi.
debu,dust. BER-: dusty.,dust. BER-: dusty.,Kotoran yang sangat kecil/lembut.,,Meja in sangat BERDEBU.
decak,"clicking sound, usually as made with the tongue. BER-: to make such a sound.","^a clicking sound, usually as made by the tongue to express surprise or astonishment. BER-: to make such a clicking sound.",Bunyi yang dihasilkan oleh lidah karena rasa kekaguman atau kejutan.,,Lidahnya BERDECAK-DECAK ketika melihat pesawat tempur yang canggih.
dedak,mixture of rice and bran,"mixture of rice and bran, by-product of milling used as animal feed.",,,Peternak membuat DEDAK untuk makanan kuda
degung,1. sound of gong 2 (Sd.) gamelan,1. sound of gong 2 (Sd.) gamelan,,,DEGUNG gong itu menyakitkan telingaku
degup,sound of gulp,"sound of gulp BER-, MEN-(2): 1. make a gulping sound 2. beat, pound MEN-KAN: exciting, cause to beat",,,Jantungku BERDEGUP lebih kencang
degur,sound of surf,sound of surf BER-: make the sound of surf,,,
deham,or dehem: clearing of throat,"*or dehem: clearing of throat BER-, MEN-: cough slightly, clear throat (often to signal o.'s presence) MEN-I: hint, give s.o. a signal by clearing the throat",,,*Sedari tadi Andi MENDEHAM
dehidrasi,dehydration,MEN-: dehydrate,,,
dekam,"be in crouching position (of cat, etc)","be in crouching position (of cat, etc) *MEN-, BER-: 1. be in crouching position (of cat, etc.) 2. be cooped up 3. be incarcerated",,,*Muchtar Pakpahan MENDEKAM dalam penjara selama tiga tahun
dekan,dekan1= bamboo rat; dekan2= (Acad.) dean,dekan1= bamboo rat; *dekan2= (Acad.) dean MEN-I: be the dean of a certain faculty,dekan2= dekan ahli: academic dean dekan fakultas: dean of the faculty,,"*Mappa Nasrun adalah DEKAN Fakultas Ilmu Sosial dan Politik, Universitas Hasanuddin periode 1994-1998"
dekap,"dekap1 = MEN-: to embrace, hug. dekap2= near dekap3= noise of heartbeat","dekap1= *MEN-: to embrace, hug. dekap2 = near  MEN-: 1. be near 2. be situated MEMPER-KAN: bring near, reconcile dekap3 = noise of a heartbeat BER-: beat (of heart)",,,* Mutiara MENDEKAP ibunya dengan sayang
dekar,"MEN-: to fight with a sword. PEN-: swordmaster, champion.","^MEN-: to fight with a sword. PEN-: swordmaster, champion.",Perkelahian dengan pedang.,,Ia adalah seorang PENDEKAR hak-hak asasi manusia.
dekat,"near, close by. MEN-: draw near to, approach. Also MEN--I, MEN--KAN.","^near, close by. BER--AN: be adjacent. *MEN-: draw near to, approach. *MEN--I: approach s.t. or s.o. *MEN--KAN: bring s.t. close to s.t. else.",Tidak jauh.,,Sesudah insyaf dia sekarang selalu MENDEKATKAN diri kepada Tuhan.
dekih,sound of a chuckle,"sound of a chuckle MEN-(2), TER-(2): chuckle, chortle",,,
dekik,small indentation,"small indentation, dimple (on the cheeks)",dekik pipi = dimple,,Mutiara mempunyai DEKIK di kedua pipinya
dekil,caked with dirt,"caked with dirt, clumsy",,,Endang nampak sangat DEKIL
deklamasi,formal stylized recitation of poetry,BER- = engage in formalized poetry recitation. MEN-KAN = recite literature in a formal style. PEN-AN = act of declaiming,,,PENDEKLAMASIAN pernyataan itu diawali dengan pembacaan doa bersama
deklarasi,declaration.,declaration.,Pernyataan yang ringkas dan jelas.,,
dekorasi,decoration.,decoration.,hiasan.,,
dekus,hissing or snorting sound.,^hissing or snorting sound.,Bunyi nafas yang mengembus-embus seperti kucing; dengus.,,Karena membaui ikan kering kucing itu MENDEKUS-DEKUS terus.
delapan,eight.,*eight.,8.,,Tujuh ditambah satu adalah DELAPAN.
delegasi,delegation.,delegation.,,,
deligir,MEN-: delegate (power),MEN-: delegate (power),,,Habibie MENDELIGIR tugas kenegaraan kepada menteri-menteri
delik,wide-open (of eyes),"wide-open (of eyes), 2. offense *MEN-: glare at MEN-I: glare at",,,*Notrida MENDELIK kepada Adi
delima,pomegranate,pomegranate,,,
delman,horse drawn vehicle.,horse drawn vehicle.,,,
demam,fever. BER-: to have a fever.,fever. BER-: to have a fever.,Panas badan yang lebih dari biasanya; tergila-gila.,,Anak muda sekarang sedang DEMAM musik dangdut.
deman,"like, be fond of","like, be fond of, prefer","suka, gemar, senang akan sesuatu",,Saya DEMAN buah durian
dembun,"sound of heavy object falling with a thud, bang.","sound of heavy object falling a thud, bang.",,,
demi,see DEMI1 (for the sake of . . .) or DEMI2 (as soon as . . .).,see DEMI1 (for the sake of . . .) DEMI2 (as soon as . . .),,,
demi,for the sake of; by (in oaths).,^*1 for the sake of. 2 by (in oaths).,+Untuk (kepentingan seseorang/sesuatu). +Atas nama. +Sebagai/seperti.,,+DEMI Allah dan rasul-Nya saya tidak melakukan hal itu.
demi,"(immediately) after, by (one by one, two by two, etc.); as soon as.","^*1 (immediately) after, by (one by one, two by two, etc.). 2 as soon as.",tatkala.,,Ia berteriak kegirangan DEMI membaca namanya tercantum di papan pengumuman.
demikian,"such; thus, such was the case. SE-: of this sort, of that sort.","^*1 such. 2 thus, such was the case. *SE-: of this sort, of that sort.",Begitu/begini.,,SEDEMIKIAN kejamnya kau perlakukan pembantumu.
demisioner,"MEN-KAN: (Pol) 1. ask for the resignation od a cabinet 2. strip (of authority, p","*MEN-KAN: (Pol) 1. ask for the resignation of a cabinet 2. strip (of authority, power) PEN-AN: dissolution of cabinet, stripping of authority",,,*Suharto MENDEMISIONERKAN kabinet Orde Baru pada tanggal 21 Mei 1998
demokrasi,democracy.,democracy.,Pemerintahan yang kekuasaan tertingginya ada di tangan rakyat.,,
demonstrasi,demonstration.,demonstration.,Pertunjukan mengenai cara melakukan sesuatu; unjuk rasa.,,DEMONSTRASI para buruh itu bertujuan menuntut kenaikan upah kerja.
dempul,"glazier's putty, boat caulking","glazier's putty, boat caulking. *MEN--: apply putty or caulking.",,,
denah,"sketch, blueprint, ground plan","sketch, blueprint, ground plan",,,Kami meminta Sukri untuk membuah DENAH rumah kami yang baru
denda,a punitive fine. MEN-: to levy a fine on s.o.,a punitive fine. MEN-: to levy a fine on s.o.,Hukuman dalam bentuk penyerahan uang karena suatu pelanggaran.,,Bank akan MENDENDA siapa saja yang menunggak hutang.
dendam,"revenge, vengence, grudge. KE--AN: resentment. Also PEN-.","revenge, vengence, grudge. KE--AN: resentment. PEN-: a vengeful person, s.o. bearing a grudge.","Keinginan untuk membalas, biasanya suatu kejahatan.",,Tidak biasanya dia menjadi sangat PENDENDAM begitu.
dendeng,jerked meat.,jerked meat.,"Daging yang diiris tipis-tipis, diberi bumbu, kemudian dikeringkan.",,DENDENG termasuk barang larangan untuk dibawa masuk ke Amerika.
dengan,"with, accompanying; and; by, by means of; by way of; in the manner of.","^*1 with, accompanying. 2 and. 3 by, by means of. 4 by way of. 5 in the manner of.",Beserta/bersama-sama. Dan.,,Saya pergi ke lapangan tenis DENGAN teman-teman.
dengar,"hear. MEN-: hear. MEN--KAN: listen to. Also MEMPER--KAN, TER-, KE--AN, +","^hear. *MEN-: hear. *MEN--KAN: listen to. MEMPER--KAN: 1 let s.t. be heard or listened to. *TER-: heard, audible. *KE--AN: 1 can be heard. 2 sounds, seems, strikes o. as. *PEN-: listeners, hearers. PEN--AN: sense of hearing.",Dapat menangkap suara. Mendapat kabar.,,Pidatomu membuat semua PENDENGAR terharu.
denger,see DENGAR.,see DENGAR.,,,
dengki,envy,"envy, spite BER- to be full of hatred and envy MEN- envy, be jealous of someone KE- -AN spite, spitefulness jealousy PEN- one who is spiteful",,,
dengkul,"[Java, Jkt.] knee","[Java, Jkt.] knee *MODAL--: with only o's own strong back (or knee) to rely on",lutut,,Dia berhasil menjadi pengusaha sukses walaupun pada awalnya dia hanya berMODAL DENGKUL
dengkur,"1. snore, snoring; 2. grunt; 3. purr","*MEN--: snore, grunt, purr *--AN: snore *PEN--: snorer",,,Tidak ada yang ingin tidur dengan Ali karena dia PENDENGKUR
dengus,snort (of animals).,snort (of animals).,,,
Denpasar,capital city of the Province of Bali in Indonesia.,capital city of the Province of Bali in Indonesia.,,,
denyut,"throb, beat, pulse","BER- : beat, throb (of heart, pulse) MEN- : beat, throb -AN: beat throb (heart beat)",,,DENYUTAN jantungnya sangat lemah selama dia pingsan
depan,"(in) front; ahead; next. BER-AN: face e.o. Also TER-, BER-_-_, MENGE-KAN,+","^*1 front, in front. 2 ahead. 3 next. BER-__-__: face-to-face. BER--AN: face each other. MENGE--KAN: 1 put in the front. 2 put forward, propose. TER-: 1 foremost, front (seat, etc.). 2 in the lead (in contests, etc.).",Muka/dimuka.,,Dia berjalan di DEPAN saya.
Deparlu,Department of Foreign Affairs.,Deparlu is an abbreviation of Departemen Luar Negeri or Department of Foreign Affairs.,,,Jonet bekerja di DEPARLU (Departemen Luar Negeri)
departemen,department.,*department.,,,Saya bekerja di DEPARTEMEN pendidikan
Depdagri,Department of Internal Affairs,Depdagri is an abbreviation of Departemen Dalam Negeri or Department of Internal Affairs,,,DEPRAGRI (Departemen Dalam Negeri) memantau jalannya pemilihan umum
Deperdag,Department of Commerce,Deperdag is an abbreviation of Departemen Perdagangan or Department of Commerce,,,
Depertan,Department of Agriculture,Depertan is an abbreviation of Departemen Pertanian or Department of Agriculture,,,
Depkeh,Department of Justice,Depkeh is an abbreviation of Departemen Kehakiman or Department of Justice,,,
Depkes,Department of Health,Depkes is an abbreviation of Departemen Kesehatan or Department of Health,,,DEPKES (Departemen Kesehatan) menempatkan dokter-dokter muda ke desa-desa terpencil
Depkeu,Department of Finance,Depkeu is an abbreviation of Departemen Keuangan or Department of Finance,,,
Depnaker,Department of Labor,Depnaker is an abbreviation of Departemen Tenaga Kerja or Department of Labor,,,DEPNAKER (Departemen Tenaga Kerja) tidak mampu menyediakan informasi tentang peluang kerja
depok,reside,"^reside * MEN-: reside PEN-AN: camp, dormitory PA-AN: residence",,,*Para korban peristiwa Ambon MENDEPOK sementara di mesjid-mesjid
deposito,"[Fin.] fixed deposit, savings","[Fin.] fixed deposit, savings *MEN--KAN: put o's money in a time certificate or fixed deposit.",tabungan,,Jangan lupa MENDEPOSITOKAN sebagian uang yang kamu terima itu
Deptan,(Departemen Kehutanan) Department of Forestry.,(Departemen Kehutanan) Deptartment of Forestry.,,,
deputi,deputy,deputy,,,
derai,sound of heavy rainfall.,sound of heavy rainfall.,Bunyi jatuhnya air hujan yang lebat; gelak tawa yang panjang.,,DERAI tawa mereka terdengar sampai sini.
derajat,degree (as of temperature).,degree (as of temperature).,Ukuran untuk suhu; tingkatan.,,Berapa DERAJAT suhu udara hari ini?
derak,snapping sound.,^snapping sound.,Bunyi yang berkeretakan seperti pada pohon bambu yang saling bergesekan.,,Pintu itu BERDERAK ketika dibuka.
deram,"rumbling, roaring sound.","rumbling, roaring sound.",Bunyi yang menderu-deru seperti pada bunyi guruh.,,Air terjun itu jatuh BERDERAM.
derang,"clanging, jingling sound.","clanging, jingling sound.",Bunyi seperti pada bunyi genderang.,,Panci-panci itu jatuh BERDERANG.
derap,"stamping, clopping sound.","stamping, clopping sound (as of horse hoof beats, sound of one's boots when running).",Bunyi seperti pada barisan orang yang bersepatu tentara.,,Malam itu kudengar kuda-kuda lari BERDERAP.
deras,swift. BER-: rush (of water). MEN-: flow rapidly; energetically. Also PEN-.,"^swift. BER-: rush (of water). *MEN-: 1 become heavier (rain, etc.) 2 flow rapidly. 3 energetically. PEN-: accelerator.",Sesuatu yang berjalan sangat cepat.,,Hujannya bukannya reda malah MENDERAS.
deret,"row, series, line. SE-: in line with; one line of s.t. BER-, MEN--KAN, +","1. row, series, line; 2. (mathematical) progression. SE-: 1 in line with. 2 one line of s.t. BER-: be in rows or lines. MEN--KAN, MEMPER--KAN: line s.o. up. -AN: row, line.",barisab; jajaran.,,"Penduduk dunia bertambah secara DERET UKUR, sementara bahan makanan bertambah secara DERET HITUNG."
derhaka,see DURHAKA.,see DURHAKA.,,,
derita,"MEN-: suffer (a hardship). PEN--AN: suffering, hardship.","MEN-: suffer (a hardship). PEN--AN: suffering, hardship.",Kesengsaraan; kesusahan.,,PENDERITAAN lahir dan batin telah kualami selama masa perang saudara.
derma,"donation, alms. MEN--KAN: donate s.t. PEN-: donor. Also PEN--AN.","^donation, alms. MEN--KAN: donate s.t. PEN-: donor. PEN--AN: act of donation.",Bantuan pada yang menderita/miskin.,,Saya akan MENDERMAKAN tanah ini untuk yayasan orang-orang cacat mental.
dermaga,"quay, pier","quay, pier",,,
dermawan,"a donor, a philanthropist.","a donor, a philanthropist.",Orang yang memberi bantuan.,,Rukli is a PHILANTHROPIST.
deru,"roaring, thundering sound. MEN-: to make a roaring, thundering sound.","roaring, thundering sound. MEN-: to make a roaring, thundering sound.",Bunyi seperti pada suara mesin mobil/motor.,,Bunyi sepeda motornya MENDERU-DERU menyakitkan telingaku.
desa,village.,*village.,Daerah yang terletak di luar kota.,,"Walaupun hanya gadis DESA, dia cantik sekali."
desah,"huffing, wheezing, swishing (sound).","huffing, wheezing, swishing (sound).",Bunyi seperti suara barang digosok.,,DESAH nafasnya tidak teratur lagi setelah berlari begitu jauh.
desak,"BER-_-_: crowd, jostle. MEN-: push, shove; urge, insist. Also MEN--KAN, -AN.","^BER-_-_: crowd, jostle. MEN-: 1 push, shove. 2 urge, insist. MEN--KAN: force s.t. onto s.o. -AN: push, shove.",Penuh dengan orang/barang sehingga tempat menjadi sempit.,,DESAKAN
desar,"to rustle, to sizzle.","to rustle, to sizzle.",,,
desas-desus,"rumor, whispering.","rumor, whispering.",Berita yang tidak/belum pasti sumber dan kebenarannya; kabar angin.,,Berita itu hanya DESAS-DESUS.
desau,"soft rustling (sound). BER-, MEN-: make a soft rustling sound.","soft rustling (sound). BER-, MEN-: make a soft rustling sound.",Bunyi seperti angin yang berhembus.,,Suara biduanita itu merdu sekali seperti angin yang MENDESAU.
Desember,December.,December.,,,
desis,"hissing, sizzling sound","BER-- : make a hissing sound MEN-- : hiss, sizzle",,,"""Jangan suka mengeluarkan suara yang MENDESIS"" kata ibu pada Tommy"
detak,"beat, throb, thud.","beat, throb, thud.",,,
detar,the clatter of footsteps on a wooden floor.,the clatter of footsteps on a wooden floor.,,,
deteksi,"detection, discovery.","detection, discovery.",Usaha untuk menemukan suatu kenyataan.,,Alat ini berguna untuk MENDETEKSI logam.
detektif,detective.,detective.,Suatu agen/seseorang yang pekerjaannya menyelidiki sesuatu (bisa dalam hal kriminalitas maupun informasi); polisi rahasia.,,
detel,detail. MEN-: going into detail.,detail. MEN-: going into detail.,Secara terperinci; bagian yang kecil-kecil.,,Pertanyaan-pertanyaan para siswa sangat bagus dan MENDETEL.
detik,1. sound of ticking (of clock). 2. second (measurement of time).,"1. sound of ticking (of clock). 2. second (measurement of time). SE-: a moment, momentary.",,,
devisa,foreign exchange.,foreign exchange.,*Alat pembayaran luar negeri yang dapat diuangkan dengan uang luar negeri.,,Kopi sebagai hasil bumi bisa mendatangkan DEVISA yang besar bagi negara.
dewa,"god, idol. ME--KAN, MEMPER-(-KAN): deify, idolize. Also KE--AN, PEN-, PEN--AN+","^god, idol. MEN--KAN, MEMPER-(-KAN): 1. deify. 2. idolize. KE--AN: divine powers. PEN-: idolater, admirer. PEN--AN, PER--AN: deification, idolization.","Seseorang, suatu hal, makhluk ciptaan Tuhan yang sangat dipuja.",,PENDEWAAN benda-benda selain Tuhan adalah suatu hal yang dilarang dalam agama Islam.
dewan,"council, board.","council, board.",Badan yang terdiri dari beberapa orang yang pekerjaannya merundingkan/memutuskan suatu masalah.,,DEWAN kepala-kepala suku telah mengambil keputusan.
dewasa,"adult, of age. MEN--KAN: to mature s.t. PEN--AN: maturation; time","^1. adult, of age. *MEN--KAN: to mature s.t. PEN--AN: maturation. ^2. time, era",Akil balig/cukup umur.,,Pada DEWASA ini sulit mendapat pekerjaan.
dewata,god,god,,,
dewi,"1. goddess. 2. darling, beloved.","^1. goddess. 2. darling, beloved.",Dewa perempuan; perumpamaan bagi wanita yang sangat cantik; sebutan bagi wanita kesayangan.,,Istriku bagaikan DEWI dari kahyangan.
di,"at, on, in; passive verbal prefix.","*at, on, in (a location). *passive verbal prefix.",1 menunjukan tempat 2 membentuk kata menjadi pasif,,Baju itu jangan DIPAKAI.
dia,he or she (third-person singular neuter pronoun).,*he or she (third-person singular neuter pronoun).,Kata ganti orang ketiga.,,Dia telah diberi hadiah oleh Ibunya
diam,"see DIAM1 (silent, be quiet . . .) or DIAM2 (to reside, inhabit . . .).","see DIAM1 (silent, be quiet . . .) DIAM2 (to reside, inhabit . . .)",Tidak ada suara/ sunyi/senyap.,,
diam,"silent, quiet; motionless; idle. BER-: be silent, say nothing. Also PEN-.","^1 silent, quiet. 2 motionless. 3 idle. *BER-: be silent, say nothing. *PEN-: a person who is naturally quiet.",,,Anak ini memang dasarnya adalah PENDIAM.
diam,reside. BER-: reside. KE--AN: residence.,^reside. BER-: reside. *KE--AN: residence.,,,Daerah ini adalah tempat KEDIAMAN para tamu negara.
diang,"BER-: warm o.s. near the fire. MEN--KAN: warm, heat, roast. PEN--AN: fireplace.","BER-: warm o.s. near the fire. MEN--KAN: warm, heat, roast. PEN--AN: fireplace.",Memanaskan diri didekat api.,,Saya pikir PENDIANGAN itu terlalu besar untuk rumah sekecil ini.
didih,"MEN-: boil; boil, rage. MEN--KAN: to boil s.t.","^MEN-: 1 boil. 2 boil, rage. *MEN--KAN: to boil s.t.",Panas yang lebih dari 100 derajat celsius.,,Dibutuhkan waktu yang agak lama untuk MENDIDIHKAN air ini.
didik,"educate. MEN-: educate; raise, bring up. Also MEN--KAN, TER-, PEN--AN.","^educate. *MEN-: 1 educate. 2 raise, bring up. MEN--KAN: teach or practice s.t. *TER-: educated. *PEN--AN: education.",Memberi pengajaran tentang suatu hal.,,PENDIDIKANmu kurang tinggi untuk pekerjaan ini.
dik,see ADIK.,see ADIK.,,,
dikir,"BER-: (Isl.) chant repeatedly the confession of faith. Also MEN--KAN, PEN-.",^BER-: (Isl.) chant repeatedly the confession of faith. *MEN--KAN: chant s.t. in praise of God. PEN-: s.o. who chants phrases in God's praise.,Berdoa kepada Tuhan secara berulang-ulang.,,Orang tua saya selalu MENDIKIRKAN doa untuk anak-anaknya supaya sukses dalam hidup.
dikit,"little, small. SE-: see SEDIKIT. SE-_-_-NYA: at the least.","^*(Jak. Dialect) little, small. SE-: see SEDIKIT. *SE-_-_-NYA: at the least.",Kurang banyak.,,Buat karangan ini SEDIKIT-DIKITNYA tiga lembar.
Dili,capital city of the Province of East Timor in Indonesia.,capital city of the Province of East Timor in Indonesia.,,,
dimaksudkan,intended for s.t.; meant; intended; see also MAKSUD,intended for s.t.; meant; intended; see also MAKSUD,,,Pertemuan ini DIMAKSUDKAN untuk memperjelas persoalan kemarin
dinamika,dynamics,dynamics *--KELOMPOK: group dynamics.,,,
dinas,"1. official (government). 2. agency, department. 3. government service, +","1. official (government). 2. agency, department. 3. government service, official duty. 4. church service. BER-: serve in a certain office. MEN--KAN: put s.o. into service. KE--AN: service.","jawatan, urusan pemerintahan (bukan swasta).",,Adikku bekerja di DINAS Kebakaran Kota.
dinda,see ADINDA,see ADINDA,,,
dinding,"1. interior wall, partition. 2. butress. BER-: have a wall or partition. +","^1. interior wall, partition. 2. butress. BER-: have a wall ro partition. BER--KAN: walled with s.t. MEN--KAN: use as a wall.",,,Gantung lukisan itu di DINDING sebelah kiri.
dingin,cold. MEN--KAN: chill s.t.; calm s.o. down. Also PEN-.,^cold. *MEN--KAN: 1 chill s.t. 2 calm s.o. down. *KE--AN: 1 coldness. 2 be very cold. 3 too cold. *PEN-: 1 cooler. 2 o. who soothes away problems.,Tidak panas. Bersuhu rendah.,,PENDINGIN di kamar ini kurang bekerja dengan baik.
dini,early,"*early, premature SE~(2) = the earliest **SE~ mungkin = as soon as possible",,,**Saya harus mengirim formulir ini SEDINI MUNGKIN
diplomasi,diplomacy,"diplomacy *BER--: be diplomatic, engage in diplomacy",,,
diplomatis,diplomatic,diplomatic,,,
direksi,management; administration,management; administration,,,Setiap minggu DIREKSI kantor mengadakan rapat
direktur,director.,director.,Pemimpin tertinggi suatu perusahaan; kepala sekolah.,,Pak DIREKTUR yang akan mengatur hal ini.
dirgantara,"sky, upper atmosphere","sky, aerospace, upper atmosphere *KE-AN: aerospace affairs",,,Burung Elang terbang menguasai DIRGANTARA Indonesia
diri,see DIRI1 (self . . .) or DIRI2 (BER-: stand . . .),see DIRI1 (self . . .) DIRI2 (BER-: stand . . .),,,
diri,self.,^*self.,Kita sendiri; tidak dengan orang lain.,,Bukan hanya DIRImu sendiri yang menanggung deritanya nanti.
diri,"BER-: stand; exist. MEN--KAN: cause to stand up; build; found. Also TER-, +","^BER-: 1 stand. 2 exist. *MEN--KAN: 1 cause to stand up. 2 build, erect (a building). 3 found, establish. *TER-: 1 suddenly stand up. 2 consist of. *PEN--AN: 1 building, founding. 2 standpoint, convictions.",Tegak; tidak jatuh.,,PENDIRIAN pemuda itu sudah teguh untuk mengawini kekasihnya.
Dirjen,Director General.,(Direktur Jendral) Director General.,,,
Dirut,Chairman of the Board.,(Direktur Utama) Chairman of the Board.,,,
disentri,dysentery.,dysentery.,,,
disintegrasi,,,,,
dispensasi,"dispensation; exemption (from tax, etc)",dispensation; exemption,"kemudahan, pembebasan dari kewajiban (seperti membayar pajak dll.)",,Setiap penduduk miskin mendapat DISPENSASI tidak membayar iuran
distribusi,distribution. MEN--KAN: distribute. PEN--AN: distributing.,"distribution. MEN--KAN: distribute, allocate s.t. PEN--AN: distributing.",penyebaran; penyaluran; pembagian.,,PENDISTRIBUSIAN barang-barang itu tidak dapat dilakukan hari ini.
DIY,"acronym for Daerah Istimewa Yogyakarta ; ""special region Yogyakarta""","acronym for ""special region Yogyakarta"" or Yogyakarta Special Province",,,
DKI,Special District of the Capital.,(Daerah Khusus Ibukota) Special District of the Capital.,,,
doa,"prayer. BER-, MEN-: pray, say prayers. Also MEN--I, MEN--KAN.","^prayer. *BER-, MEN-: pray, say prayers. MEN--I: say a prayer on behalf of s.o. *MEN--KAN: pray for s.t. (to happen).","Permohonan untuk mengharap, memuji, meminta sesuatu kepada Tuhan.",,Anak yang saleh akan selalu MENDOAKAN orang tuanya.
dobrak,"smashed, broken open (of door, gate, fence, tradition, custom, etc.)","*MEN- : break in, batter down *-AN : breakthrough PEN- : batterer, wrecker, demolisher PEN-AN : battering, housebreaking",,,DOBRAKAN negara itu di bidang teknologi sangat mengagumkan
dogol,without horns (of horned animals),"1. without horns (of horned animals) 2. without combs (of fowl) 3. stupid, ALSO KE-AN : stupidity",,,
dokar,two-wheeled carriage.,two-wheeled carriage.,"Kereta yang ditarik oleh kuda, biasanya beroda dua; bendi.",,Setiap pagi ibuku ke pasar naik DOKAR.
dokter,"doctor, physician. MEN--KAN: bring s.o. to the doctor. KE--AN: medical.","^doctor, physician. *MEN--KAN: bring s.o. to the doctor. *KE--AN: medical.",Orang yang pekerjaannya menyembuhkan orang sakit.,,Adik ipar saya belajar ilmu KEDOKTERAN.
dokumen,document. PEN--AN: documentation.,document. PEN--AN: documentation.,Surat-surat penting yang bisa dipakai sebagai barang bukti.,,Barang-barang akan mudah dicari kalau cara PENDOKUMENANnya benar.
dokumentasi,documentation. MEN-: document. MEN--KAN: document. Also PEN--AN.,documentation. MEN-: document. MEN--KAN: document. PEN--AN: system of documentation.,"Pengumpulan, pengolahan, dan penyimpanan gambar atau informasi mengenai suatu hal.",,Sayang PENDOKUMENTASIAN acara itu kurang baik.
dolar,dollar.,dollar.,"Nama mata uang yang dipakai di Amerika, Singapura, Australia, Hongkong, dll.",,Pada tahun 1996 satu DOLAR kira-kira sama dengan Rp. 2500 (dua ribu lima ratus rupiah).
DOM,acronym for Daerah Operasi Militer; Military Operation Areas,acronym for Daerah Operasi Militer: Military Operation Areas,,,Pemerintah memberlakukan DOM di daerah itu setelah ada konflik bersenjata
domba,sheep.,sheep.,Kambing yang berbulu tebal.,,Jas ini terbuat dari BULU DOMBA.
domestik,domestic.,domestic.,*Berhubungan dengan atau mengenai dalam negeri.,,Pemerintah Gus Dur berhadapan dengan persoalan domestik yang sangat kompleks
dominasi,domination. MEN-: dominate.,domination. MEN-: dominate.,"*Penguasaan oleh pihak yang lebih kuat terhadap yang lebih lemah (dalam bidang politik, militer, ekonomi, perdagangan, olah raga, dsb).",,
dompet,wallet.,*wallet.,Tas kecil untuk menyimpan uang.,,Apakah DOMPETMU dicuri orang?
dong,particle asserting that interlocutor should already know or do what o. is asserting,particle asserting that interlocutor should already know or do what o. is asserting,,,Kamu ikut pergi? Ya dong!
dongeng,"1. fairy tales, legend. 2. non-sense. MEN-: tell a tale. MEN--I: tell tales to.+","1. fairy tale, legend. 2. non-sense. MEN-: tell a tale. MEN--I: tell tales to. MEN--KAN: narrate -AN: 1. myth. 2. false story.",,,That story is only a FALSE STORY.
dongkol,be irked.,be irked. MEN-: irk.,Kesal hati; jengkel; marah; perasaan tidak senang; dll.,,Dia MENDONGKOL sekali ketika diolok-olok .
dongkrak,jack (auto),"*MEN- : 1. jack up (car, etc.), 2. assist s.o. in achieving his purpose",,,Pengaruh orang tuanya MENDONGKRAK karir Herman di militer
dorong,"MEN-: push; motivate. -AN: pushing; impetus, motivation. Also PEN-, PEN--AN.","^*MEN-: 1 push. 2 motivate. *-AN: 1 pushing. 2 impetus, motivation. PEN-: promoter, organizer. *PEN--AN: instigation, stimulus.",Membuat orang atau sesuatu maju ke depan.,,Dukungan suamiku merupakan PENDORONG yang kuat bagi karierku.
dosa,"sin, crime.","sin, crime.",,,
dosen,"college instructor, professor.","*college instructor, professor.",Guru yang mengajar di sekolah tingkat Perguruan Tinggi.,,DOSEN saya berasal dari Indonesia.
doyan,be fond of.,be fond of.,Suka sekali; gemar sekali.,,Adikku yang terkecil DOYAN makan bakso.
