term,definition,long_definition,vernacular_definition,note,example
adik,"younger brother, sister or cousin;+. BER-: have younger siblings. Also MEMPER-.","^*1 younger brother or sister or younger cousin. 2 form of address to younger brother or sister and younger people in extended family (esp. first cousins). 3 form of address from husband to wife, boyfriend to girlfriend. 4 form of address for service persons of either sex (waiter, etc.) younger than the speaker. BER-: have younger siblings.",1. Saudara muda. 2. Panggilan kepada orang yang lebih muda (istri dsb.). 3. Pertalian persaudaraan dengan yang lebih muda.,,ADIK IPAR saya ada di Jakarta.
adil,"just, fair, equitabl; legal. MENG--I: administer justice. Also MENG--I, KE--AN,+","^*1 just, fair, equitable. 2 legal. MENG--I: 1 hear, try ( a case). 2 administer justice. KE--AN: justice, justness. PENG--AN: 1 the court. 2 trial, session. 3 courthouse. 4 jurisdiction.",1. Tidak berat sebelah. 2. Sepatutnya/tidak sewenang-wenang.,,Keputusan hakim itu sangat ADIL.
adinda,"my dear(est), darling","^my dear(est), darling",,,Juli memanggil adik bungsunya ADINDA
adipati,"during the colonial era, this is a (respectful) title for the head of a residence in Java","during the colonial era, this is a (respectful) title for the head of a residence in Java",,,
adonan,"dough, batter","*^dough, batter MENG-I: knead, stir",,,*ADONAN roti itu sangat harum
adpokat,avocado,avocado,,,Makanan Meksiko banyak menggunakan ADPOKAT
ADRI,"""Angkatan Darat Republik Indonesia,"" the Indonesian army.","acronym for ""Angkatan Darat Republik Indonesia,"" the Indonesian army.",,,
adu,see ADU1 (compete . . .) or ADU2 (complain . . .).,see ADU1 (compete . . .) ADU2 (complain . . .).,,,
adu,"compete. BER-: to compete, confront or collide with s.t. Also MENG-, PER--AN.","^compete. BER-: to compete, to confront or collide with s.t. ( also > RADU [for royalty]: to sleep). MENG-: 1 to put s.t. up for competition or confrontation. 2 bump, hit against s.t. PER--AN: contest, competition, confrontation. aduan sapi = bull fighting. (See the picture)",memperlawankan.,,Toni senang MENGADU ke dua temannya.
adu,"MENG-: complain about, take legal action. Also PENG-, PENG--AN.","^MENG-: to complain about, take legal action. PENG-: an informer or complainant. PENG--AN: accusation, indictment.",lapor.,,PENGADUANmu tentang kasus penganiayaan
aduh,"ouch! ow!; oh my! MENG-: lament; moan, groan. Also MENG-, TER-_-_, PENG-.","^*1 ouch! ow! (expression of pain). 2 oh my! (expression of disappointed surprise). MENG-: 1 lament. 2 moan, groan. TER-_-_: repeatedly moaning. PENG-: chronic complainer, grouch.",kata seru untuk rasa sakit atau heran.,,ADUH!......bagusnya bajumu.
aduk,1. mix. 2. stir. CAMPUR ADUK = all mixed up.,1. mix. 2. stir. CAMPUR ADUK = all mixed up.,1. Campur; baur. 2. Putar-putar sampai semua bahan tercampur.,,Semua bukuku BERCAMPUR ADUK dengan bukumu.
adun,"finery, fal-lals; elegance","^finery, fal-lals; elegance *BER-: dress up, put on o.'s best things MENG-KAN: to dress up, to titivate o.s",,,*Baru kali ini saya melihat Rey BERADUN
adzan,call to prayer.,(Isl.) call to prayer.,Panggilan kepada orang-orang untuk bersembahyang; pemberitahuan waktu sembahyang (dalam agama Islam).,,Setiap pukul enam sore ADZAN maghrib berkumandang dari masjid itu.
aerogram,aerogram.,"*aerogram, airletter.",Surat yang dikirim lewat udara.,,Apakah kamu sudah mengirim AEROGRAMME ke luar negeri?
afdal,"1) good, fine, nice 2) ritually pure",,,,2) Jangan sembahyang dulu kalau tidak ~
afiat,"health, well being, healthy","^health, well being, healthy *MENG-KAN: give good health (God)",WAL-: hale and hearty,,*Semoga Allah senantiasa MENGAFIATKAN keluarga anda.
AFTA,ASEAN Free Trade Area.,ASEAN Free Trade Area.,,,
agak,"rather, somewhat; approximately, about. Also -NYA, BER-_-_,+","^*1 rather, somewhat. 2 approximately, about. *-NYA: it seems, probably. BER-_-_: intend. MENG-_-_: 1 suspect, guess correctly. 2 consider, ponder. MENG--KAN: determine carefully. MENG-_-_-KAN: guess, figure.",1. kira-kira/lebih kurang. 2. sedikit. 3. sepertinya.,,AGAKNYA hujan akan turun hari ini.
agama,religion.,"*religion. BER- ____: to have a religion; BER-______ Islam: to be a Muslim ("" to have Islam as a religion"").",kepercayaan kepada Tuhan Yang Mahaesa,,AGAMA Islam
agar,"in order that, in order to.","^*1 in order that, in order to, so that.",1. Sinonim: supaya.,,"AGAR mudah dibaca, tulislah dengan jelas."
agar-agar,a k.o. gelatin made from seaweed.,*a k.o. gelatin made from seaweed.,Semacam makanan pencuci mulut.,,Apakah AGAR-AGARnya sudah dibuat?
agen,"agency, branch, agent. MENG--I: distribute, manage. Also PER--AN, KE--AN.","^1. agency, branch. 2. agent. MENG--I: distribute, manage. PER--AN, KE--AN: agency.",Perwakilan/cabang dari suatu perusahaan; mata-mata suatu badan/negara.,,Penataan KEAGENAN perusahan itu sangat
agenda,agenda,agenda MENG~KAN = schedule,,,Pemilihan umum DIAGENDAKAN pada bulan Juni 1999
agung,"great, exalted, high, noble. MENG--KAN: to glorify, elevate, praise. KE--AN: +","great, exalted, high, noble. MAHKAMAH AGUNG = Supreme Court. KEJAKSAAN AGUNG = attorney general's office. MENG--KAN: to glorify, elevate, praise. KE--AN: grandure.",besar; mulia; tinggi; suci.,,KEAGUNGAN budinya terpancar dari wajahnya.
Agustus,August.,August.,Nama bulan sesudah Juli dan sebelum September.,,
ah,ah! alas!; yechh! (exclamation of disgust); intensifying negative particle.,^*1 ah! alas! 2 yechh! (exclamation of disgust). 3 intensifying negative particle (see usage examples).,"Kata seru menyatakan rasa kecewa, menyesal, menolak, dsb.",,That animal is very disgusting.
Ahad,Sunday.,Sunday.,minggu (biasa digunakan oleh orang-orang yang beragama Islam).,,Khitanannya akan diadakan AHAD depan.
ahli,"expert, specialist; virtuoso. KE--AN: expertise, skill, competence.","^1 expert, specialist. 2 virtuoso. KE--AN: expertise, skill, competence.",1. Keluarga/sanak saudara/keturunan. 2. Orang yang pandai dalam suatu ilmu.,,Untuk membuat kamus ini dibutuhkan seorang AHLI BAHASA.
aib,"1. shame, disgrace, scandal; 2. error, mistake","1. shame, disgrace, scandal; 2. error, mistake *KE--AN: humiliation, disgrace, shame","malu, kehinaan",,Sampai sekarang KEAIBAN itu masih dikenang orang
air,"water, liquid; juice. BER-: have water; juicy. Also MENG-, MENG--I,+","^*1 water, liquid. 2 juice. *BER-: 1 have water. 2 juicy (as a fruit). MENG-: 1 turn into water. 2 like water. *MENG--I: 1 irrigate. 2 dilute with water. 3 give to drink. KE--AN: flooded, inundated. PENG--AN: irrigation. *PER--AN: waters; water territory. *--MATA: tears.","Barang cair yang dipakai untuk minum, mandi, dsb.",,Pak tani sedang MENGAIRI sawahnya.
aja,see SAJA.,see SAJA.,,,
ajaib,"magic, miraculous, remarkable. MENG--KAN: miraculous. Also KE--AN.","magic, miraculous, remarkable. MENG--KAN: amazing, miraculous. KE--AN: mystery, wonder.",aneh; tidak masuk akal; menakjubkan.,,Kesembuhan anaknya sangat MENGAJAIBKAN.
ajak,"to invite someone along. Also MENG-, MENG--SERTAKAN, -AN,+","^*to invite someone along MENG-: 1 invite, ask. 2 urge. 3 challenge. MENG--SERTAKAN: invite along. *-AN: 1 invitation. 2 challenge. 3 stimulus. PENG-: inducement.",Meminta/menyilakan/menyuruh.,,AJAKANNYA ditolak secara halus.
ajal,death.,death.,Batas kehidupan; mati.,,Dia masih tersenyum ketika sampai AJALnya.
ajang,"site, arena",*--INDUSTRI: industrial estate *--PERTEMPURAN: warring arena,"kancah, tempat, arena",,Ayahnya harus berangkat ke AJANG PERTEMPURAN
ajar,"(Coll.) study. BEL-: study; learn. MENG-: teach, train, coach. Also MENG--I,+","^*(Coll.) study. *BEL-: 1 study. 2 learn. *MENG-: teach, train, coach. *MENG--I: teach, train, coach. *MENG--KAN: 1 teach something. 2 lecture, rebuke. MEMPEL--I: study carfully, in depth. -AN: 1 teaching, theory, doctrine, lesson. 2 punishment. PENG-: instructor, teacher. PENG--AN: 1 instruction, doctrine, teaching. 2 warning, reminder, admonition. PEL-: student. MEMPEL--I: study carefully, dilegently, in depth. TERPEL-: 1 educated, learned. 2 intellectual. PEL--AN: lesson, course, training.",1. Suatu hal yang dikatakan kepada orang supaya diketahui. 2. Berlatih.,,Ayah MENGAJARI paman naik sepeda motor.
ajek,"constant, stable, steady.","constant, stable, steady.",Tidak berubah-ubah; sudah tentu; tetap.,,Roda ini berputar dengan kurang AJEK.
aji,"spell, charm, magical formula.","spell, charm, magical formula.",Kesaktian; ilmu gaib; mantra.,,AJI-AJI yang diucapkannya sungguh makbul.
aju,"MENG--KAN: file, submit (a protest); set forward, propose. Also PENG--AN.","^*MENG--KAN: 1 file, submit (a protest). 2 set forward, propose. *PENG--AN: submission, offer, tender.",1. Mengemukakan. 2. Menampilkan.,,PENGAJUAN rencananya ditolak oleh kepala sekolah.
ajuk,see ajuk1 (=observe) or ajuk2 (=mimic),,,,
ajuk,observe,"MENG-- . observe, estimate 2. test, to put the test, sound out. TER--: measurable, estimated. KE--AN: deeply fathomed. --AN: 1. sounding 2. guess, assumption.",,,"2) Saya curiga, mungkin ia mau ~"
ajuk,"mimic, imitate, parrot, mock",--AN: mimicry,,,Murid yang nakal itu ~ gurunya
ajun,"purpose. MENG-: intend to, plan to.","purpose. MENG-: intend to, plan to.",maksud; tujuan.,,Pak Kasim MENGAJUN menjadi kepala desa.
Akabri,Armed Forces Academy.,(Akademi Angkatan Bersenjata) Armed Forces Academy.,Akademi Angkatan Bersenjata Republik Indonesia.,,Anakku yang tertua diterima masuk AKABRI.
akad,"contract, agreement, covenant. BER-: settle an agreement. MENG--KAN: +","contract, agreement, covenant. BER-: settle an agreement. MENG--KAN: enter into an agreement.",Janji; kontrak; persetujuan; kesepakatan.,,Siapa yang akan MENGAKADKAN jual-beli ini?
akademi,academy.,academy.,Tempat untuk menimba ilmu (setingkat perguruan tinggi).,,AKADEMI kepariwisataan ini baru berdiri tahun lalu.
akademis,academic.,academic.,akademik; bersifat akademi.,,Pelajaran yang ditawarkan tidak bersifat AKADEMIS.
akaid,dogma.,dogma.,Kepercayaan/agama yang tidak boleh dipermasalahkan karena bersifat sudah pasti; dogma.,,"Tuhan itu ada, dan itu adalah AKAID."
akal,"1. mind, intellect, reason. 2. intelligence. 3. way, tactics. 4. advice. +","^1. mind, intellect, reason. 2. intelligence. 3. way, tactics. 4. advice, instruction. 5. deceit, cunning. SE-, SE--BUDI: with all o.'s might, strength. BER-: 1. inteligent or smart. 2. be calm. MENG--I: 1. seek a way. 2. deceive, double-cross. MENG--KAN: seek a way, work s.t. out. -AN: fabrication, invention.",pikiran; kecerdasan; daya; upaya; cara melakukan sesuatu; taktik; dll.,,Pikir yang benar jangan hanya AKAL-AKALAN.
akali,intelligent; logical.,intelligent; logical.,Berdasarkan logika.,,Tindakannya sulit dimengerti secara AKALI.
akan,"will, about to; about, regarding. Also SE-_-_, MENG-, MENG--KAN,+","^*1 will, about to (particle marking future events). 2 about, regarding. _-_: equally true. *SE-_-_: as if, as though. MENG-: aim, strive for. MENG--KAN: suppose. KE--AN: the future, futurity. -AN: horizon.",Mengenai/tentang. Hendak/bakal terjadi.,,Dia merasa SEAKAN-AKAN dunia adalah
akar,1. root. 2. source. -NYA: source or origin (of s.t.). BER-: 1. have roots in. +,^1. root. 2. source. -NYA: source or origin (of s.t.). BER-: 1. have roots in. 2. take root. MENG-: take root. MENG--KAN: calculate the square root. -AN: 1. several k.o. roots. 2. s.t. like a root.,Bagian terbawah dari suatu tumbuh-tumbuhan; dasar; sumber.,,Pohon yang baru kutanam itu sudah mulai MENGAKAR.
akbar,"1. great, exalted. 2. bid. KE--AN: exaltation, elevation, glorification.","1. great, exalted. 2. big. KE--AN: exaltation, elevation, glorification.",besar.,,Tidak ada yang bisa menyamai KEAKBARAN konser musik ini.
akhir,"end, finish","end, finish -NYA: final, last -2: recently, of late BER-: 1. end 2. become extinct KEBER-AN: finality BER-KAN: end in *MENG-I: 1. conclude 2. kill TER-: 1. latest 2. last 3. ultimate -AN: suffix PENG-AN: ending, concluding",,,*Truly MENGAKHIRI pidatonya dengan kata-kata yang menggelora
akhirat,"the hereafter, the beyond","1. the hereafter, the beyond 2. eternity 3. for eternity KE-AN: concerning the hereafter",,,
akhirulkalam,in conclusion,in conclusion,,,"Setelah mengemukakan rencana ini, AKHIRULKALAM, saya berharap kita dapat bekerja sama dengan baik"
aki,aki1: storage battery. aki2: grandfather,*aki1: storage battery **aki2: grandfather.,Benda yang berguna untuk menghidupkan mesin; baterai.,,*Mobil yang mogok itu barangkali disebabkan oleh AKInya yang rusak.
akibat,"result, consequence. NYA-: finally. BER: have consequences. MENG--KAN: cause.","^result, consequence. -NYA: finally, as a consequence. BER-: have consequences. MENG--KAN: result in s.t., cause.",Hasil dari suatu perbuatan/usaha.,,Perputaran bumi pada sumbunya MENGAKIBATKAN terjadinya siang dan malam.
